ds,yhat,yhat_lower,yhat_upper
2015-08-01,4295.399893411253,2787.0508069083135,5899.222027127821
2015-08-02,4265.011290625009,2527.269397270674,6014.103030295475
2015-08-03,4312.704615809659,2764.8085206946894,5959.016601701005
2015-08-04,3786.476641540046,2276.9649914207566,5364.725156816969
2015-08-05,3643.0770879635547,2085.6860121096665,5321.80301787092
2015-08-06,3522.92042688772,1906.7982727025922,5091.044198827153
2015-08-07,3744.6003706725496,2150.96147878664,5406.267872966244
2015-08-08,4119.005172139582,2410.7619308434523,5940.369692216968
2015-08-09,4103.780257977763,2608.1538515358634,5677.141371197734
2015-08-10,4169.318055816669,2607.2259802262192,5846.939545394671
2015-08-11,3663.0285856481405,1980.2684035314458,5290.050226054362
2015-08-12,3541.023425197045,1901.7446891130942,5222.308521611904
2015-08-13,3443.047874882882,1834.1234598863139,5061.048134968966
2015-08-14,3687.0166811774575,2073.2054742445835,5239.699642689478
2015-08-15,4083.150795769524,2466.2350340474895,5660.521412863374
2015-08-16,4088.461036204495,2449.7229645101197,5721.747928442674
2015-08-17,4172.757863127132,2674.5389580030273,5708.73997137547
2015-08-18,3682.9402308559397,2037.8898752009272,5353.894182987493
2015-08-19,3574.6955566748165,2054.0235427240686,5210.602787191457
2015-08-20,3487.445137079705,1783.9194849861312,5194.1091328249395
2015-08-21,3738.889954447694,2029.9324827368055,5311.909247036388
2015-08-22,4139.154031087392,2457.018170721157,5757.491350142065
2015-08-23,4145.270980837478,2465.7564687027943,5732.577113255156
2015-08-24,4227.192869721691,2489.0270454836473,5880.504056917637
2015-08-25,3732.0743543702956,2122.2135114842176,5368.432658467239
2015-08-26,3615.964271299973,2022.5147066997,5196.661664210125
2015-08-27,3518.739245573015,1975.3711085908697,5131.494054163512
2015-08-28,3758.6346084940146,2019.127397480075,5320.704387512142
2015-08-29,4146.370223599423,2467.751070505799,5601.877511516386
2015-08-30,4139.617396764141,2566.34823558411,5668.587459364618
2015-08-31,4208.986575686228,2554.6121668459755,5864.17861864674
2015-09-01,3702.289451810895,2151.2755755343514,5292.487563318278
2015-09-02,3576.208313802399,1933.0294618149203,5252.598800876457
2015-09-03,3471.2079085887394,1855.920803428897,4986.975860272547
2015-09-04,3706.0457780938777,2023.2992513734746,5464.654198205918
2015-09-05,4091.8793199073034,2533.306693439555,5792.297381763269
2015-09-06,4086.7163475306384,2489.4110298429905,5668.949724948798
2015-09-07,4161.389387760389,2548.395763279956,5746.997044471864
2015-09-08,3663.8077765669927,2072.0569892043513,5340.252536325493
2015-09-09,3550.620752774664,1886.2637555937408,5084.20891388055
2015-09-10,3462.1270463581677,1817.3995741980955,5058.932942575848
2015-09-11,3716.7870527746463,2112.221201648662,5343.743853245836
2015-09-12,4125.335842611245,2464.8098139303293,5887.936153279992
2015-09-13,4145.243659923579,2645.141891184839,5834.141748530358
2015-09-14,4246.703903653837,2633.517691550076,5900.187928245007
2015-09-15,3776.902295663651,2047.238935018049,5322.018451627738
2015-09-16,3691.6999715906813,2071.944746446589,5419.542725849116
2015-09-17,3630.565435816464,2063.701967536027,5287.9240606184985
2015-09-18,3911.1108394765456,2326.0648731228744,5507.85138102866
2015-09-19,4343.230139287869,2692.156689062573,5788.008933017885
2015-09-20,4383.585059842375,2717.3972438809533,6128.785027395491
2015-09-21,4501.618104980527,2973.010378818728,6167.275352677032
2015-09-22,4043.8455766636494,2471.012100646445,5598.200150711323
2015-09-23,3965.56261813083,2269.9769841367674,5485.998752029688
2015-09-24,3905.79455008878,2372.9158505982214,5523.34561634972
2015-09-25,4181.849353441525,2619.091491043212,5861.253847993438
2015-09-26,4603.46833625023,2899.340229698549,6267.32816172161
2015-09-27,4627.320488971791,2996.8388181787864,6284.61254508719
2015-09-28,4723.019469465969,3046.8225985532276,6305.192330108392
2015-09-29,4237.415996690894,2595.9822175292657,5809.732984042631
2015-09-30,4126.297621237064,2498.1396394349003,5651.951059088697
2015-10-01,4029.330226494787,2535.5695215892656,5454.643058621355
2015-10-02,4264.596331394831,2614.758999093299,5802.0674875007935
2015-10-03,4642.727577330943,2957.8609125333674,6241.845249847058
2015-10-04,4621.3773668293525,3014.196768305966,6244.5715419599765
